Date,End Time,Duration in Seconds,Transfer From,Source ID,Transfer To,Target ID,Product,Volume,Metered Volume,Temp Comp Metered Volume,Transaction Type,Peak Flow Rate,Average Flow Rate,Flow Duration,Start Time,Flow Duration Seconds,Start Hour,End Hour,Transaction Duration (Minutes),Day of Week,Part of Day,Flow Rate Ratio,weather_id,realtime_source,wind_direction_deg,dewpoint_temp_c,air_temp_c,humidity_percent,precipitation_mm,utc_date,Wind Direction Category,Feels Like Temp,Rain Intensity
20-11-2024 02:37,20-11-2024 02:58,1278,Mod 1 Lube Island Virtual,K1 Lube Island Virtual,Grandmeister Unit 9428 Diesel,Grandmeister Unit 9428 Diesel,DIESEL,7406.5,7406.5,0,MANUAL,385,381.78,00:19:24,20-11-2024 02:37,1164,2,2,21.3,Wednesday,Night,0.991636364,2741172,TRUE,357,-18.4,-15.8,81,0,20-11-2024 02:00,N,-19.6,
20-11-2024 03:29,20-11-2024 03:37,464,Mod 1 Lube Island Virtual,K1 Lube Island Virtual,TLP 2101,TPU 4710,DIESEL,2152.7,2152.7,0,MANUAL,378,370.09,00:05:49,20-11-2024 03:29,349,3,3,7.733333333,Wednesday,Night,0.979074074,2704288,FALSE,350,-18.3,-16,82,0,20-11-2024 03:00,N,-19.6,
20-11-2024 03:33,20-11-2024 03:56,1357,Mod 4 Lube Island Virtual,K4 Lube Island Virtual,Grandmeister Unit 9425 Diesel,Grandmeister Unit 9425 Diesel,DIESEL,7968.2,7968.2,0,MANUAL,486,363.84,00:21:54,20-11-2024 03:33,1314,3,3,22.61666667,Wednesday,Night,0.748641975,2704288,FALSE,350,-18.3,-16,82,0,20-11-2024 03:00,N,-19.6,
20-11-2024 03:49,20-11-2024 04:03,880,Mod 1 Lube Island Virtual,K1 Lube Island Virtual,Grandmeister Unit 9428 Diesel,Grandmeister Unit 9428 Diesel,DIESEL,4861.5,4861.5,0,MANUAL,383,379.8,00:12:48,20-11-2024 03:49,768,3,4,14.66666667,Wednesday,Night,0.991644909,2704288,FALSE,350,-18.3,-16,82,0,20-11-2024 03:00,N,-19.6,
20-11-2024 04:12,20-11-2024 04:17,277,Mod 4 Lube Island Virtual,K4 Lube Island Virtual,TLP 2104,TLP 2104,DIESEL,1144.9,1144.9,0,MANUAL,423,413.82,00:02:46,20-11-2024 04:12,166,4,4,4.616666667,Wednesday,Night,0.978297872,2704289,FALSE,360,-18.1,-15.8,82,0,20-11-2024 04:00,N,-19.4,
20-11-2024 04:38,20-11-2024 04:54,959,Mod 1 Lube Island Virtual,K1 Lube Island Virtual,Grandmeister Unit 9428 Diesel,Grandmeister Unit 9428 Diesel,DIESEL,5109.2,5109.2,0,MANUAL,399,362.78,00:14:05,20-11-2024 04:38,845,4,4,15.98333333,Wednesday,Night,0.909223058,2704289,FALSE,360,-18.1,-15.8,82,0,20-11-2024 04:00,N,-19.4,
20-11-2024 05:02,20-11-2024 05:18,997,Mod 1 Lube Island Virtual,K1 Lube Island Virtual,Grandmeister Unit 9041 Diesel,Grandmeister Unit 9041 Diesel,DIESEL,6092.8,6092.8,0,MANUAL,391,387.66,00:15:43,20-11-2024 05:02,943,5,5,16.61666667,Wednesday,Night,0.991457801,2741175,TRUE,354,-18.3,-15.9,82,0,20-11-2024 05:00,N,-19.5,
20-11-2024 08:16,20-11-2024 08:21,249,Grandmeister Unit 9425 Diesel,Grandmeister Unit 9425 Diesel,Grandmeister Unit 9425 Diesel,Grandmeister Unit 9425 Diesel,DIESEL,635.7,635.7,0,MANUAL,409,310.1,00:02:03,20-11-2024 08:16,123,8,8,4.15,Wednesday,Morning,0.758190709,2704324,FALSE,10,-19,-16.3,80,0.1,20-11-2024 08:00,N,-20.3,No Rain
20-11-2024 08:54,20-11-2024 08:58,238,Grandmeister Unit 9425 Diesel,Grandmeister Unit 9425 Diesel,TLP 2104,TLP 2104,DIESEL,829.8,829.8,0,MANUAL,377,325.41,00:02:33,20-11-2024 08:54,153,8,8,3.966666667,Wednesday,Morning,0.863156499,2704324,FALSE,10,-19,-16.3,80,0.1,20-11-2024 08:00,N,-20.3,No Rain
20-11-2024 09:10,20-11-2024 09:33,1391,Mod 4 Lube Island Virtual,K4 Lube Island Virtual,Grandmeister Unit 9425 Diesel,Grandmeister Unit 9425 Diesel,DIESEL,7665.2,7665.2,0,MANUAL,450,351.61,00:21:48,20-11-2024 09:10,1308,9,9,23.18333333,Wednesday,Morning,0.781355556,2741179,TRUE,349,-19,-16.4,80,0,20-11-2024 09:00,N,-20.4,No Rain
20-11-2024 10:18,20-11-2024 10:44,1531,Mod 1 Lube Island Virtual,K1 Lube Island Virtual,Grandmeister Unit 9428 Diesel,Grandmeister Unit 9428 Diesel,DIESEL,8716.2,8716.2,0,MANUAL,382,378.97,00:23:00,20-11-2024 10:18,1380,10,10,25.51666667,Wednesday,Morning,0.992068063,2741180,TRUE,333,-19.4,-17,82,0,20-11-2024 10:00,NW,-20.6,No Rain
20-11-2024 11:07,20-11-2024 11:26,1127,Mod 4 Lube Island Virtual,K4 Lube Island Virtual,Grandmeister Unit 9425 Diesel,Grandmeister Unit 9425 Diesel,DIESEL,6003.8,6003.8,0,MANUAL,349,345.05,00:17:24,20-11-2024 11:07,1044,11,11,18.78333333,Wednesday,Morning,0.988681948,2704341,FALSE,350,-19.2,-16.9,82,0,20-11-2024 11:00,N,-20.5,No Rain
20-11-2024 12:15,20-11-2024 12:49,2029,Mod 4 Lube Island Virtual,K4 Lube Island Virtual,Grandmeister Unit 9425 Diesel,Grandmeister Unit 9425 Diesel,DIESEL,11809.7,11809.7,0,MANUAL,469,363.94,00:32:27,20-11-2024 12:15,1947,12,12,33.81666667,Wednesday,Afternoon,0.775991471,2741182,TRUE,336,-19.4,-17.1,82,0,20-11-2024 12:00,NW,-20.7,No Rain
20-11-2024 13:16,20-11-2024 13:28,693,Mod 1 Lube Island Virtual,K1 Lube Island Virtual,TLP 2101,TPU 4710,DIESEL,2649,2649,0,MANUAL,378,291.1,00:09:06,20-11-2024 13:16,546,13,13,11.55,Wednesday,Afternoon,0.77010582,2704343,FALSE,360,-19.2,-16.8,82,0,20-11-2024 13:00,N,-20.4,No Rain
20-11-2024 13:28,20-11-2024 13:35,373,Mod 4 Lube Island Virtual,K4 Lube Island Virtual,TLP 2104,TLP 2104,DIESEL,2024.2,2024.2,0,MANUAL,369,345.03,00:05:52,20-11-2024 13:28,352,13,13,6.216666667,Wednesday,Afternoon,0.93504065,2704343,FALSE,360,-19.2,-16.8,82,0,20-11-2024 13:00,N,-20.4,No Rain
